,EN SOURCE TXT,Korean
0,"Stay informed this summer with the latest news from local stations and national networks like CNN, CNBC, FOX News Radio and MSNBC.
We're always working to improve TuneIn! Here's what's new:","올여름, CNN, CNBC, FOX News Radio 및 MSNBC와 같은 미국 뉴스 방송사의 최신 뉴스를 청취해 보세요.
 TuneIn을 개선하기 위해 항상 노력하고 있습니다! 새로운 소식:"
1,Dedicated Premium Tab,전용 프리미엄 탭
2,Easier Navigation of Your Favorites,더 쉬워진 즐겨찾기 탐색
3,Reimagined Premium Page,새로워진 프리미엄 페이지
4,Improved Google Login Support,개선된 Google 로그인 지원
5,Playback Speed,재생 속도
6,Continue with Apple,Apple 계정으로 계속 진행
7,Enjoy unlimited access to Premium content and fewer commercials.,프리미엄 콘텐츠를 더 적은 광고로 무제한 이용해 보세요.
8,PREMIUM ACCESS{0}ALL FOR YOU,프리미엄 이용{0}나만의 콘텐츠
9,Learn More,자세히 보기
10,CDC recommends that people wear cloth face coverings in public settings when around people outside of their household.,미국 질병통제예방센터의 권고에 따라 가정이 아닌 공공장소에서 타인과 접촉 시 천 마스크를 착용하시기 바랍니다.
11,Help Slow the Spread of COVID-19,코로나바이러스감염증-19 확산 방지
12,Home,홈
13,Soundtrack Your Chores,집안일 할 때 듣는 사운드 트랙
14,Never miss a game with live home calls from your favorite teams.,좋아하는 팀의 생중계 경기를 놓치지 마세요.
15,Try It Free & Subscribe,
16,NO SHIRT.{0}NO SHOES.{0} NO COMMERCIALS.,셔츠 없음.{0}신발 없음.{0} 광고 없음.
17,FIND YOUR{0}SUMMERTIME{0}SOUNDTRACK.,당신의{0}썸머타임{0}사운드트랙을 찾으세요.
18,%d Episode,%d 에피소드
19,%d Episodes,%d 에피소드
20,"Sorry, you must be 16 years or older to use TuneIn.",죄송합니다. TuneIn을 사용하려면 만 16세 이상이어야 합니다.
21,Start Your Free Trial,무료 평가판을 시작하세요
22,MLB - Clutch Performances,MLB - 클러치 퍼포먼스
23,Dub,덥
24,Reality Show Podcasts,리얼리티 쇼 팟캐스트
25,What's Happening,실시간 소식
26,Further Listening,더 듣기
27,Classic Game Replays,고전 게임 다시하기
28,Featured Stations,특색있는 스테이션
29,Listen Live,라이브 듣기
30,"Keep informed with the latest news on everything from the coronavirus to the 2020 election with live coverage from local stations and networks like CNN, BBC, MSNBC and Fox News Talk.","지역 방송국뿐만 아니라 CNN, BBC, MSNBC 및 Fox News Talk 등의 네트워크에서 생중계하는 코로나바이러스부터 2020년 미국 대통령 선거에 이르기까지 모든 분야의 최신 뉴스를 계속 받아보세요."
31,Here's what's new,새로운 기능
32,Player related bug fixes,플레이어 관련 버그 수정
33,Crash fixes and improvements,충돌 수정 및 개선
34,My Library,내 라이브러리
35,Explore Podcasts,팟캐스트 탐색
36,Click on the download icon next to your favorite podcasts and podcast episodes to save them for offline listening.,즐겨찾는 팟캐스트 및 팟캐스트 에피소드 옆에 다운로드 아이콘을 클릭하여 저장하면 오프라인으로 청취할 수 있습니다.
37,Download for Offline Listening,오프라인 청취용 다운로드
38,Private Favorites,비공개 즐겨찾기
39,Public Favorites,공개 즐겨찾기
40,Recordings,녹음
41,Latin Music Podcasts,라틴 음악 팟캐스트
42,Interest Selection,관심 셀렉션
43,Interest Roll-Ups,관심 롤업
44,Interest Selection Flow,관심 셀렉션 플로
45,Home,홈
46,Interest Selection New Home,관심 셀렉션 뉴 홈
47,Breaking news. No Commercials.,긴급 속보. 광고 없음.
48,Hear Coverage All Weekend,주말 내내 방송 청취
49,Popular Podcasts,인기 팟캐스트
50,Local,지역
51,Recents,최신
52,Local Music Stations,지역 음악 방송국
53,Commercial-Free Music,광고 없는 음악
54,Local News,지역 뉴스
55,Top Sports Talk Stations,최고의 스포츠 토크 스테이션
56,Today's Top Games,오늘의 최고 경기
57,Trending and recent searches,트렌드와 최근 검색 내역
58,New user registration flow for seamless setup and login,원활한 설치 및 로그인을 위한 신규 사용자 등록 순서도
59,Sleep timer bug fixes,수면예약 버그 수정
60,Favorites reordering bug fix,즐겨찾기 재정렬 버그 수정
61,{{yearlytrial/}} days free. {{yearlyprice/}}/year after,"{{yearlytrial/}}일간 무료, 이후 {{yearlyprice/}}/년"
62,LET’S LET DAD{0}PICK THE MUSIC.{0}HAPPY FATHER'S DAY.,오늘은 아빠가 원하는{0}음악을 고르게 해드리세요.{0}아버지날을 축하합니다.
63,Are you sure? Staying signed in gives you seamless access to your recents and favorites across all your devices.,정말로 로그아웃하시겠어요? 로그인 상태를 유지하면 모든 기기에서 최근 재생 및 즐겨찾기를 손쉽게 이용할 수 있습니다.
64,Stay signed in,로그인 상태 유지
65,Check out the recommendations we found just for you.,TuneIn의 맞춤 추천을 확인하세요.
66,All Done!,완료!
67,Select Your interests,관심분야 선택
68,Personalize your Home screen by selecting your interests.,관심분야를 선택해 맞춤 홈 화면을 만드세요.
69,A TuneIn Experience Just For You!,나만을 위한 TuneIn 경험!
70,Interests,관심분야
71,Tropical,트로피컬
72,Vallenato,바예나토
73,Bachata,바차타
74,NPR Music,NPR 뮤직
75,MLB Podcasts,MLB 팟캐스트
76,90's Music Stations,90년대 음악 방송
77,Ranchera,란체라
78,New For June,6월 신곡
79,Celebrating Juneteenth (Emancipation Day),준틴스(노예해방일) 기념
80,George Floyd Protests,조지 플로이드 시위
81,Episodes On The Protests,시위 관련 에피소드
82,Conversations About Race,인종에 대한 대화
83,Highlighting Black Voices,흑인의 목소리 톺아보기
84,Listen Live,실시간으로 듣기
85,Celebrating Black Music,흑인 음악 예찬
86,Stories of Black History,흑인 역사 이야기
87,Hear live coverage from top news networks entirely commercial-free.,유명 뉴스 방송사의 생방송을 광고 없이 청취해 보세요.
88,Exclusive Content. Less Ads.,프리미엄 콘텐츠. 더 적은 광고.
89,"Enjoy unlimited access to Premium audio, in addition to less ads throughout the app.
",프리미엄 오디오를 더 적은 앱 광고로 무제한 이용해 보세요.
90,Never miss a game with live home calls from every league.,모든 스포츠 리그의 생중계를 놓치지 마세요.
91,COMMERCIAL-FREE NEWS{0}WITH TUNEIN PREMIUM.{0}UPGRADE NOW.,TUNEIN PREMIUM.{0}광고 없는 뉴스 청취.{0}지금 업그레이드하세요.
92,CNN COMMERCIAL-FREE.{0}CAN'T WATCH?{0}LISTEN LIVE.,광고 없는 CNN.{0}시청할 수 없다면?{0}라이브로 청취하세요.
93,Premium is not available while you're offline. Please connect to the internet and try again.,오프라인에서는 프리미엄을 이용하실 수 없습니다. 인터넷에 연결하신 후 다시 시도해 주세요.
94,Premium background image,프리미엄 배경 이미지
95,"Commercial-free news from CNN, Fox News Talk & MSNBC.{0}Every NFL, MLB, NBA & NHL game.{0}50+ channels of commercial-free music for every mood & activity.{0}No display or pre-roll ads.","광고 없는 CNN, Fox News Talk 및 MSNBC 뉴스.{0}모든 NFL, MLB, NBA 및 NHL 중계.{0}모든 분위기와 활동에 어울리는 50개 이상의 광고 없는 음악 채널.{0}디스플레이 광고나 프리롤 광고 없음."
96,"Every NFL, MLB, NBA, NHL & College Game.{0}Commercial-Free CNN, FOX News Talk & MSNBC.{0}150+ stations of commercial-free music.	","모든 NFL, MLB, NBA, NHL 및 대학 리그 경기.{0}광고 없는 CNN, FOX News Talk 및 MSNBC 뉴스.{0}150개 이상의 광고 없는 음악 채널."
97,SUBSCRIBE TO TRY FREE,가입하여 무료 체험
98,SUBSCRIBE TO TRY IT FREE,가입하여 무료 체험하기
99,Go To Mail,메일로 가기
100,Mail Is Not Configured,메일 설정되지 않음
101,"To contact customer support, please set up an email account on this device.",고객 지원에 문의하시려면 본 기기에서 이메일 계정을 설정해 주세요.
102,No Thanks,괜찮습니다
103,Start Listening Now,지금 듣기
104,"Get commercial-free CNBC, CNN, FOX News Talk, & MSNBC with TuneIn Premium. Plus every NFL, MLB, NBA & NHL game with no blackouts and less ads on 100K radio stations.","Tunein Premium으로 CNBC, CNN, FOX News Talk 및 MSNBC 뉴스를 광고 없이 청취해 보세요. 십만 개의 라디오 방송국에서 중계하는 NFL, MLB, NBA 및 NHL 경기를 중계 중단 없이 더 적은 광고로 즐겨 보세요."
105,Unlock More News,더 많은 뉴스 듣기
106,"Upgrade to experience live sports with no blackouts, exclusive commercial-free news and music channels, and less ads throughout.	","프리미엄으로 업그레이드해 중계 중단 없는 스포츠 생중계, 광고 없는 뉴스, 음악 채널을 더 적은 광고로 즐겨 보세요."
107,GET MORE WITH{0}TUNEIN PREMIUM,TUNEIN PREMIUM으로{0}더 많은 콘텐츠를 즐겨 보세요
108,"Exclusively for you - live sports with no blackouts, commercial-free news and music channels, and less ads across the app.","나만의 프리미엄 콘텐츠 - 중계 중단 없는 스포츠 생중계, 광고 없는 뉴스 및 음악 채널, 더 적은 앱 광고"
109,PREMIUM ACCESS,프리미엄 이용
110,Top Podcast Genres,인기 있는 팟캐스트 장르
111,Podcasts for The Culture,문화 팟캐스트
112,Home,홈
113,My Library,내 라이브러리
114,Podcasts for Pride Month,자긍심의 달 팟캐스트
115,Long Gone Summer,롱 곤 서머
116,Find Your Song of The Summer,여름 노래 찾기
117,Podcasts,팟캐스트
